"","species_common_name","species","location","recordingDate","method","taskLength","transcriber","speciesIndividualNumber","vocalization","abundance","startTime","tagLength","minFreq","maxFreq","internal_tag_id","Latitude","Longitude","species_id","species_genus","species_name","species_class","species_order","species_family","scientific_name","species_code","category","taxon_order","order","family","report_as"
"29","American Crow","AMCR","CountryIsland11328967"," 2022-06-07 05:11:12","1SPM",180,"Lindsay Colyn",1,"Call","1",158.94,1.94,51.5,2987.12,3462959,45.1017,-61.5427,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"30","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",5,"Call","1",70.05,2,309.01,11897,3455333,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"31","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",4,"Song","1",128.93,1.4,927.04,7570.82,3455336,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"32","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",2,"Call","1",1.89,0.89,618.03,2060.09,3455323,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"33","American Crow","AMCR","PortJoli797397"," 2021-06-24 09:09:26","1SPM",180,"Lindsay Colyn",2,"Call","1",168.51,2.94,51.5,1493.56,3413608,43.8778,-64.8997,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"34","American Crow","AMCR","PortJoli797397"," 2021-06-24 09:09:26","1SPM",180,"Lindsay Colyn",1,"Call","1",60.03,2.75,51.5,2523.61,3410768,43.8778,-64.8997,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"35","American Crow","AMCR","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",5,"Call","1",127.65,2.38,51.5,10712.45,3455335,44.72786,-62.7587,746,"Corvus","brachyrhynchos","Aves","Passeriformes","Corvidae","Corvus brachyrhynchos","amecro","species",21054,"Passeriformes","Corvidae",NA
"36","American Goldfinch","AMGO","OwlsHead3879193"," 2021-07-08 08:05:15","1SPM",180,"Lindsay Colyn",1,"Call","1",47.39,0.57,2111.59,6128.76,3400270,44.7388,-62.8343,689,"Spinus","tristis","Aves","Passeriformes","Fringillidae","Spinus tristis","amegfi","species",31953,"Passeriformes","Fringillidae",NA
"37","American Goldfinch","AMGO","PortJoli797397"," 2021-06-18 08:38:11","1SPM",180,"Sarah Neima",1,"Song","2",88.26,7.3,1957.08,7776.82,3402755,43.8778,-64.8997,689,"Spinus","tristis","Aves","Passeriformes","Fringillidae","Spinus tristis","amegfi","species",31953,"Passeriformes","Fringillidae",NA
"38","American Goldfinch","AMGO","OwlsHead3879193"," 2021-07-08 08:05:15","1SPM",180,"Lindsay Colyn",1,"Call","1",143.14,0.65,1545.06,5613.73,3409534,44.7388,-62.8343,689,"Spinus","tristis","Aves","Passeriformes","Fringillidae","Spinus tristis","amegfi","species",31953,"Passeriformes","Fringillidae",NA
"39","American Goldfinch","AMGO","BigFishIsland10292034"," 2022-06-07 18:14:03","1SPM",180,"Sarah Neima",1,"Call","1",168.59,4.49,1854.08,5665.24,3409552,43.7042,-65.951,689,"Spinus","tristis","Aves","Passeriformes","Fringillidae","Spinus tristis","amegfi","species",31953,"Passeriformes","Fringillidae",NA
"40","American Goldfinch","AMGO","PortJoli797397"," 2021-06-18 08:38:11","1SPM",180,"Sarah Neima",2,"Call","1",120.05,3.7,824.03,7519.31,3402756,43.8778,-64.8997,689,"Spinus","tristis","Aves","Passeriformes","Fringillidae","Spinus tristis","amegfi","species",31953,"Passeriformes","Fringillidae",NA
"41","American Goldfinch","AMGO","WolfesIsland698161"," 2022-06-07 06:27:27","1SPM",180,"Sarah Neima",1,"Song","1",62.89,1.95,2317.6,5974.25,3455074,44.72786,-62.7587,689,"Spinus","tristis","Aves","Passeriformes","Fringillidae","Spinus tristis","amegfi","species",31953,"Passeriformes","Fringillidae",NA
"42","American Goldfinch","AMGO","WolfesIsland698161"," 2022-06-07 06:27:27","1SPM",180,"Sarah Neima",1,"Call","1",0.04,4.61,1493.56,6849.79,3451181,44.72786,-62.7587,689,"Spinus","tristis","Aves","Passeriformes","Fringillidae","Spinus tristis","amegfi","species",31953,"Passeriformes","Fringillidae",NA
"43","American Redstart","AMRE","CoffinIsland1901229"," 2022-07-11 07:47:09","1SPM",180,"Sarah Neima",1,"Song","1",54,1.3,3502.15,7879.83,3453947,46.0846,-60.6708,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"44","American Redstart","AMRE","HogIsland2019511"," 2022-06-23 06:18:59","1SPM",180,"Sarah Neima",1,"Song","1",61.79,1.21,3193.13,8137.34,3398758,45.22926,-63.7443,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"45","American Redstart","AMRE","OwlsHead3879193"," 2021-06-18 05:26:26","1SPM",180,"Lindsay Colyn",1,"Song","1",1.31,1.35,3708.15,8343.35,3400039,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"46","American Redstart","AMRE","OwlsHead3879193"," 2021-07-05 10:33:08","1SPM",180,"Sarah Neima",2,"Song","1",126.44,1.22,3553.65,7313.3,3400255,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"47","American Redstart","AMRE","CountryIsland11328967"," 2022-06-29 09:23:01","1SPM",180,"Sarah Neima",1,"Song","1",16.81,0.99,3605.15,7107.3,3463087,45.1017,-61.5427,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"48","American Redstart","AMRE","CoffinIsland1901229"," 2022-07-11 07:47:09","1SPM",180,"Sarah Neima",2,"Song","1",150.35,1.7,2420.6,7107.3,3453961,46.0846,-60.6708,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"49","American Redstart","AMRE","OwlsHead3879193"," 2021-07-05 10:33:08","1SPM",180,"Sarah Neima",1,"Song","1",120.78,1.47,3759.66,8549.36,3400245,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"50","American Redstart","AMRE","OwlsHead3879193"," 2021-06-19 07:26:33","1SPM",180,"Sarah Neima",1,"Song","1",124.03,1.16,4326.18,8703.86,3399922,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"51","American Redstart","AMRE","HogIsland2019511"," 2022-06-23 06:18:59","1SPM",180,"Sarah Neima",1,"Song","1",0.63,1.23,3141.63,7776.82,3398718,45.22926,-63.7443,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"52","American Redstart","AMRE","OwlsHead3879193"," 2021-07-08 18:05:15","1SPM",180,"Sarah Neima",1,"Song","1",67.19,1.49,3399.14,7313.3,3400382,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"53","American Redstart","AMRE","OwlsHead3879193"," 2021-07-08 08:05:15","1SPM",180,"Lindsay Colyn",1,"Song","1",154.41,0.88,4068.67,7055.79,3409527,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"54","American Redstart","AMRE","WolfesIsland2439985"," 2022-06-08 07:57:06","1SPM",180,"Sarah Neima",1,"Song","1",70.85,1.04,3914.16,8240.34,3404886,44.72786,-62.7587,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"55","American Redstart","AMRE","OwlsHead3879193"," 2021-07-05 10:33:08","1SPM",180,"Sarah Neima",1,"Song","1",74.39,1.11,4068.67,8137.34,3400244,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"56","American Redstart","AMRE","OwlsHead3879193"," 2021-06-25 19:58:00","1SPM",180,"Sarah Neima",1,"Song","1",72.58,1.35,3347.64,7313.3,3400193,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"57","American Redstart","AMRE","OwlsHead3879193"," 2021-06-19 07:26:33","1SPM",180,"Sarah Neima",1,"Song","1",61.95,1.36,4635.19,8497.85,3399881,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"58","American Redstart","AMRE","OwlsHead3879193"," 2021-07-08 18:05:15","1SPM",180,"Sarah Neima",1,"Song","1",18.58,1.15,3708.15,7261.8,3400311,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"59","American Redstart","AMRE","OwlsHead3879193"," 2021-07-08 08:05:15","1SPM",180,"Lindsay Colyn",1,"Song","1",79.76,1.47,3038.63,8085.84,3400283,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"60","American Redstart","AMRE","OwlsHead3879193"," 2021-06-25 19:58:00","1SPM",180,"Sarah Neima",1,"Song","1",38.38,1.31,3347.64,7519.31,3400185,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"61","American Redstart","AMRE","OwlsHead3879193"," 2021-06-18 05:26:26","1SPM",180,"Lindsay Colyn",2,"Song","1",41.5,1.35,3965.67,8034.33,3400196,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"62","American Redstart","AMRE","OwlsHead3879193"," 2021-06-21 09:26:53","1SPM",180,"Lindsay Colyn",1,"Song","1",96.34,1.25,3193.13,7622.32,3399993,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"63","American Redstart","AMRE","BigFishIsland10292034"," 2022-06-11 08:43:08","1SPM",180,"Sarah Neima",1,"Song","1",177.34,1.22,3193.13,7673.82,3453983,43.7042,-65.951,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"64","American Redstart","AMRE","OwlsHead3879193"," 2021-06-21 09:26:53","1SPM",180,"Lindsay Colyn",2,"Song","1",149.64,1.04,3759.66,7519.31,3400006,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"65","American Redstart","AMRE","CountryIsland11328967"," 2022-06-06 07:51:33","1SPM",180,"Sarah Neima",1,"Song","1",70.53,1.35,2935.62,6901.29,3463025,45.1017,-61.5427,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"66","American Redstart","AMRE","WolfesIsland2439985"," 2022-06-08 07:57:06","1SPM",180,"Sarah Neima",1,"Song","1",54.16,0.72,3862.66,8188.84,3409673,44.72786,-62.7587,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"67","American Redstart","AMRE","OwlsHead3879193"," 2021-06-18 05:26:26","1SPM",180,"Lindsay Colyn",3,"Song","1",122.55,0.73,4068.67,8291.85,3406945,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"68","American Redstart","AMRE","OwlsHead3879193"," 2021-07-08 08:05:15","1SPM",180,"Lindsay Colyn",1,"Song","1",14.23,1.36,2575.11,7570.82,3400263,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"69","American Redstart","AMRE","OwlsHead3879193"," 2021-06-21 09:26:53","1SPM",180,"Lindsay Colyn",1,"Song","1",143.38,1.06,3914.16,6746.78,3400004,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"70","American Redstart","AMRE","WolfesIsland2439985"," 2022-06-03 05:18:59","1SPM",180,"Lindsay Colyn",1,"Song","1",1.21,1.24,3862.66,8549.36,3410830,44.72786,-62.7587,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"71","American Redstart","AMRE","OwlsHead3879193"," 2021-06-19 07:26:33","1SPM",180,"Sarah Neima",1,"Song","1",1.53,1.27,4532.19,8806.87,3399840,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"72","American Redstart","AMRE","CountryIsland11328967"," 2022-06-06 07:51:33","1SPM",180,"Sarah Neima",1,"Song","1",161.98,0.96,1854.08,7622.32,3463041,45.1017,-61.5427,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"73","American Redstart","AMRE","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",1,"Song","1",0.16,0.94,3141.63,6746.78,3455140,44.72786,-62.7587,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"74","American Redstart","AMRE","OwlsHead3879193"," 2021-06-19 07:26:33","1SPM",180,"Sarah Neima",2,"Song","1",136.75,1.25,3296.14,8549.36,3454437,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"75","American Redstart","AMRE","OwlsHead3879193"," 2021-07-08 08:05:15","1SPM",180,"Lindsay Colyn",2,"Song","1",15.78,1.35,2163.09,8085.84,3400269,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"76","American Redstart","AMRE","WolfesIsland2439985"," 2022-06-03 05:18:59","1SPM",180,"Lindsay Colyn",1,"Song","1",60.01,0.89,3811.16,8806.87,3410878,44.72786,-62.7587,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"77","American Redstart","AMRE","OwlsHead3879193"," 2021-07-05 10:33:08","1SPM",180,"Sarah Neima",2,"Song","1",75.4,1.15,3605.15,7364.81,3400253,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"78","American Redstart","AMRE","WolfesIsland698161"," 2022-06-14 09:26:06","1SPM",180,"Sarah Neima",1,"Song","1",63.06,1.04,3193.13,7004.29,3455309,44.72786,-62.7587,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"79","American Redstart","AMRE","WolfesIsland2439985"," 2022-06-03 05:18:59","1SPM",180,"Lindsay Colyn",1,"Song","1",122.16,1.17,3347.64,8703.86,3410838,44.72786,-62.7587,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"80","American Redstart","AMRE","OwlsHead3879193"," 2021-06-18 05:26:26","1SPM",180,"Lindsay Colyn",2,"Song","1",74.95,1.34,3811.16,7570.82,3400211,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"81","American Redstart","AMRE","OwlsHead3879193"," 2021-06-19 07:26:33","1SPM",180,"Sarah Neima",2,"Song","1",79.05,1.29,3141.63,8446.35,3454435,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
"82","American Redstart","AMRE","OwlsHead3879193"," 2021-06-18 05:26:26","1SPM",180,"Lindsay Colyn",1,"Song","1",121.39,1.35,3965.67,7776.82,3400215,44.7388,-62.8343,856,"Setophaga","ruticilla","Aves","Passeriformes","Parulidae","Setophaga ruticilla","amered","species",33378,"Passeriformes","Parulidae",NA
